name,priority,type,query,operator,threshold_critical,threshold_warning,threshold_critical_recovery,message,tags,escalation_message,locked,new_host_delay,notify_audit,notify_no_data,renotify_interval,require_full_window,timeout_h,evaluation_delay,no_data_timeframe,include_tags,enable_logs_sample,threshold_windows_recovery_window,threshold_windows_trigger_window
"Terraform (CSV) - 4XX: Backend & Management - Uncategorized, non-foreign - Production",1,log alert,"logs(""@http.status_code:[400 TO 499] @api_audience:backend -@error_category:* -@uri:\""/api/v2/oidc/bindid-oidc/complete\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,1,,,"slack-bindid-srv-uptime-alerts webhook-Uptime-XiteIt
Summary:P1 - {{value}} 4XX Errors on Backend & Management - Production

Critical Threshold:{{threshold}}
Warning Threshold:-

Host:Backend & Management - Uncategorized 
Service:4XX Errors - Production
Value:{{value}} 
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
"Terraform (CSV) - 4XX: End-Users - Uncategorized, non-foreign - Production",1,log alert,"logs(""source:bindid-authentication-server @api_audience:enduser -@error_category:* @http.status_code:(400 OR 401 OR 404) @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,3,,,"slack-bindid-srvrefine-uptime-alerts
webhook-Refine-XiteIt

Summary:P1 - {{value}} 4XX End-Users Errors - Production

Critical Threshold:{{threshold}}
Warning Threshold:-

Host: 4XX: End-Users - Uncategorized, non foreign 
Service: Number of 4XX Errors - Production
Value: {{value}}
Severity: {{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - 500: Backend & Management - Categorized - Production,1,log alert,"logs(""@error_category:\""500: Backend & Management\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,1,,,"slack-bindid-srv-uptime-alerts
webhook-Uptime-XiteIt 

Summary:P1 - {{value}} Status Code 500 Errors on Backend & Management - Production

Critical Threshold:{{threshold}}
Warning Threshold:-

Host:Backend & Management 
Service:Number of 500 Errors - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - 500: End-Users - Categorized - Production,1,log alert,"logs(""@error_category:\""500: End-Users\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>,3,,,"slack-bindid-srv-uptime-alerts
webhook-Uptime-XiteIt

Summary:P1 - {{value}} Status Code 500 Errors on End-Users - Production

Critical Threshold:{{threshold}}
Warning Threshold:-

Host:End-Users
Service:Number of 500 Errors - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
"Terraform (CSV) - Number of ""Alias already set"" Errors - Categorized - Production",1,log alert,"logs(""@error_category:\""Number of \\""Alias already set\\"" Errors\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,5,,,"slack-bindid-srv-uptime-alerts
webhook-Uptime-XiteIt 

Summary:P1 - ""Alias already set"" Errors on bindid-authentication-server is {{value}} - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:bindid-authentication-server
Service:High Number of ""Alias already set"" Errors - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - All Invalid Request Errors on /authorize - Categorized - Production,1,log alert,"logs(""@error_category:\""All Invalid Request Errors on /authorize\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,5,,,"slack-bindid-srv-uptime-alerts webhook-Uptime-XiteIt
Summary:P1 - {{value}}  Invalid Request Errors on /authorize - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:/authorize
Service:High Number of Invalid Request Errors - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - Backend & Management - unsupported_grant - Categorized - Production,1,log alert,"logs(""@error_category:\""Backend & Management - unsupported_grant\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,5,,,"slack-bindid-srv-uptime-alerts webhook-Uptime-XiteIt
Summary:P1 - {{value}} unsupported_grant on Backend & Management - Production

Critical Threshold:{{threshold}}
Warning Threshold:-

Host:Backend & Management
Service:Number of unsupported_grants - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - Backend & Management – invalid_grant - Categorized - Production,1,log alert,"logs(""@error_category:\""Backend & Management – invalid_grant\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,5,,,"webhook-Uptime-XiteIt
slack-bindid-srv-uptime-alerts

Summary:P1 - {{value}} invalid_grants on Backend & Management - Production

Critical Threshold:{{threshold}}
Warning Threshold:-

Host:Backend & Management
Service:Number of invalid_grants - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - Device not found errors - Categorized - Production,1,log alert,"logs(""@error_category:\""Device not found errors\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,1,,,"slack-bindid-srvrefine-uptime-alerts webhook-Refine-XiteIt

Summary:P1 - {{value}} Device not found errors - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:bindid-authentication-server
Service:High Number of Device not found errors - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - End User - invalid_client - Categorized - Production,1,log alert,"logs(""@error_category:\""End User - invalid_client\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,5,,,"slack-bindid-srv-uptime-alerts webhook-Uptime-XiteIt

Summary:P1 - End User - {{value}}  invalid_client authentications - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:End User
Service:Number of Invalid_client Authentications - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - Expression evaluation errors - Categorized - Production,1,log alert,"logs(""@error_category:\""Expression evaluation errors\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,1,,,"slack-bindid-srvrefine-uptime-alerts webhook-Refine-XiteIt

Summary:P1 - {{value}} Unexpected exception during field resolution - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:bindid-authentication-server
Service:High Number of Expression evaluation errors - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - FIDO Registration Failures - Categorized - Production,1,log alert,"logs(""@error_category:\""FIDO Registration Failures\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""5m"")",>=,1,,,"slack-bindid-srv-uptime-alerts
webhook-Uptime-XiteIt

Summary:P1 - {{value}} FIDO Registration Failures - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:End User
Service:High Number of FIDO Registration Failures - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - Invalid HTTP Method: Backend/Management - Categorized - Production,1,log alert,"logs(""@error_category:\""Invalid HTTP Method: Backend/Management\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,5,,,"slack-bindid-srv-uptime-alerts webhook-Uptime-XiteIt

Summary:P1 - {{value}}  Invalid HTTP Method on Backend/Management - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:Backend/Management
Service:High Number of Invalid HTTP Method - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
Terraform (CSV) - Invalid HTTP Method: Frontend/End-User - Categorized - Production,1,log alert,"logs(""@error_category:\""Invalid HTTP Method: Frontend/End-User\"" @bindid_env:production"").index(""*"").rollup(""count"").last(""15m"")",>=,5,,,"slack-bindid-srv-uptime-alerts
webhook-Uptime-XiteIt

Summary:P1 - {{value}}  Invalid HTTP Method on Frontend/End-User - Production
Critical Threshold:{{threshold}}
Warning Threshold:-

Host:Frontend/End-User
Service:High Number of Invalid HTTP Method - Production
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1 Production,,FALSE,300,FALSE,FALSE,0,,0,,,TRUE,TRUE,,
